cycle,mode_0,mode_1,mode_2,mode_3,mode_4,mode_5,mode_6,mode_7,mode_8,mode_9,mode_10,mode_11,mode_12
0,0.9658951752625415,0.9869896814029442,0.8102228925493333,0.8068735933850881,0.8383205303767078,0.9390772461653258,0.9804655771987232,0.8631533946975687,0.9119695012520798,0.9755923530310443,0.900964617977746,0.9931222957769563,0.8181359195842436
1,0.9466426457240372,0.940460563094006,0.7766280474130705,0.7583387254225326,0.7954788264523922,0.8927808092116072,0.9377905425439287,0.8153022414992561,0.8577432104702293,0.89577531485508,0.8368686972802039,0.9016398797010763,0.7408155204705037
2,0.9186635906705984,0.900657576262803,0.7406519456220774,0.7266034976669262,0.7585739263262388,0.8363849175145516,0.8791642681867238,0.7674920402709561,0.81220039609884,0.834316729181503,0.7662040409641213,0.8243994175113368,0.6626930339316712
3,0.8928882556533491,0.846186662707494,0.7176921174961871,0.7017210958869983,0.7275870659835925,0.773297620079831,0.843464724300149,0.7180630596481677,0.7636806947436807,0.780925847703534,0.7189590188239628,0.7667590221446356,0.6061153926508999
4,0.866604288479311,0.7985685087860701,0.6867347232571613,0.7007578923425354,0.7080677698363032,0.7243273644759541,0.8113673500417301,0.6656088510122384,0.701515793470375,0.7174852579164605,0.6563648124118382,0.7019579918315954,0.5404911404463169
5,0.8545466838719428,0.7655625381133171,0.6742479805421395,0.6732293750394845,0.6767154637088082,0.6998972643340873,0.7795612852126806,0.6114378490606251,0.6403154877022754,0.6695344603684319,0.6053564169203557,0.6458998047662565,0.4927258247234624
6,0.8364165014091589,0.7405449194453295,0.6531490909235697,0.6482028234420854,0.6380707540727479,0.6561012200421084,0.7385972028128681,0.581080869982192,0.6168979842508883,0.630376285323016,0.5521676337835812,0.5808159592816454,0.45547973991720814
7,0.804886463992755,0.7069313856743749,0.6128313747545564,0.6351035363502902,0.6083792373822101,0.6152799368765391,0.6953942602653342,0.5509955626445361,0.5766348624478349,0.5761473852987702,0.5115599464771896,0.5292447893183704,0.4181161892585204
8,0.781233868364537,0.6829736917569914,0.5878332750757121,0.6194752093328999,0.5883635929366129,0.5808504919978538,0.6474278943736878,0.525919772956741,0.5354057483161744,0.5336239675604147,0.4709289174398099,0.4782663759721493,0.3823716485993164
9,0.7609077161308069,0.6748768744631646,0.5752507876479149,0.596788950253299,0.5659443608234962,0.5533831072523411,0.617508069910458,0.4784223704081581,0.49413966680498406,0.5032538140355206,0.4280430335268492,0.41392075225898994,0.34349183064754213
10,0.741759045331783,0.6444008252470415,0.5353710728802376,0.5759213833026418,0.5304811403280332,0.514849279662227,0.593899103367257,0.44453012032854733,0.458565313142385,0.45636660906965637,0.4130500469270068,0.39137323163011056,0.3158333565954617
11,0.7393215815293565,0.6348788833424185,0.5337911822034188,0.5553767349535335,0.5056664565790575,0.4831385582436684,0.5554787426041449,0.41791062207571045,0.4408911887967545,0.4305635910974941,0.3683712744945569,0.3789726520680324,0.2839380374495246
12,0.7057140975766069,0.6065406649738669,0.5111155341310324,0.5062334317119408,0.49088435873877845,0.45732545946586267,0.5093473372312888,0.3874041779794471,0.41526007672178217,0.404001388601523,0.32504623381967007,0.352374694119971,0.27159502805478253
